 T  M_L/N  E/N  Cv  Chi
   3.79999995      0.814712644      -2.13469958       249.632111       102.436264    
   3.81999993      0.109508544      -4.66754150       271.476929       107.341988    
   3.83999991      0.891028285      -6.81345034       1096.86963       119.293213    
   3.85999990       1.70342052      -8.95384121       935.998352       248.656097    
   3.87999988       1.67606866      -11.2473192       2533.34570       18892.5176    
   3.89999986      0.622903705      -13.4358559       1579.88171       14849.4941    
   3.91999984      0.936173141      -15.4950008       7968.16504       144.170532    
   3.93999982      0.726561129      -17.1617146       484.423767       17864.3457    
   3.95999980      0.351131350      -19.2637100      -26235.5898       14240.7725    
   3.97999978      0.673398852      -20.9042187      -41.6656189       17089.5371    
   3.99999976       1.74920177      -22.7300854       49014.5039       14850.9541    
   4.01999998      0.512921751      -24.4172077       30402.2168       12174.0576    
   4.03999996       1.77499700      -26.3710518      -35109.7930       14772.0605    
   4.05999994       1.85922885      -27.2799320       60269.3633       15291.3408    
   4.07999992       1.15463841      -29.1824684      -26465.7852       14585.5508    
   4.09999990       1.98941720      -31.1526909       38423.3203       14490.8154    
   4.11999989       2.75900531      -32.8702965       5179.56445       13807.0547    
   4.13999987       3.42566991      -34.4936409      -9845.73828       14094.2031    
   4.15999985       2.62641501      -36.2110558       108346.898       13125.6611    
   4.17999983       3.36096478      -38.4819565      -166396.391       12277.9912    
   4.19999981       4.04723120      -39.8067551       66863.5000       11107.1729    
   4.21999979       4.80590487      -41.8435326       15412.0547       12007.8203    
   4.23999977       5.39224052      -43.5130157      -121653.625       10349.9414    
   4.25999975       4.82371521      -44.7736168      -25813.2227       10679.2842    
   4.27999973       5.40356493      -46.0114174       97316.8125       10969.4512    
   4.29999971       5.70109367      -47.3835945      -193509.156       9653.89551    
   4.31999969       6.05487061      -47.8776588       65985.9453       8911.69043    
   4.33999968       5.45498323      -49.4924088      -102570.039       9337.50098    
   4.35999966       6.00477982      -50.6805420      -46748.5938       7890.36768    
   4.37999964       6.65282154      -51.8128891       122489.547       8611.64453    
   4.39999962       6.37511587      -53.4395370      -165614.906       6946.81885    
   4.41999960       5.86542940      -53.9086113       127982.664       8121.21094    
   4.43999958       6.58042765      -56.0349579      -35219.5508       7962.05029    
   4.45999956       5.98689985      -57.3947754       66565.6016       5720.18018    
   4.47999954       6.04153538      -58.3045273       2013.71204       4410.60303    
   4.49999952       6.56736517      -59.5920639      -300678.375       6509.33398    
   4.51999950       6.07274914      -59.9657211       407317.812       3815.48706    
   4.53999949       6.84226322      -61.9766121       176494.047       2688.43652    
   4.55999947       7.26796103      -63.4315147      -169352.156       6754.71582    
   4.57999945       7.53031063      -64.1508636      -237672.109       2301.85620    
   4.59999943       7.69538021      -65.3050995      -194938.422       349.021790    
   4.61999941       8.20532990      -65.7812653       59292.7578       3610.39014    
   4.63999939       7.63747597      -67.3134537       164659.672      -50.3232841    
   4.65999937       7.95794725      -68.5400085       87334.1094       6437.44727    
   4.67999935       7.37289906      -70.3515472      -362092.312       4596.36816    
   4.69999933       7.18248320      -71.2881088      -321057.562       3857.44727    
